time_s,north_m,east_m,alt_m,vfh_heading_rad,vfh_heading_deg,n_blocked_raw,n_blocked_dilated,blocked_fraction,mission_state,coverage_pct,goal_north_m,goal_east_m,dist_to_goal_m,wp_north_m,wp_east_m,dist_to_wp_m
0.421,-0.0000,0.0001,0.1283,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,0.92,-3.100,5.900,6.665,nan,nan,nan
0.921,0.0000,0.0019,0.1344,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,0.92,4.100,6.100,7.348,nan,nan,nan
1.421,0.0012,0.0080,0.1515,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,0.94,0.300,6.500,6.499,nan,nan,nan
1.921,0.0053,0.0220,0.1902,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,0.94,4.100,6.100,7.329,nan,nan,nan
2.421,0.0127,0.0431,0.2511,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,0.99,-3.793,5.593,6.729,nan,nan,nan
2.921,0.0198,0.0616,0.3214,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.03,4.100,6.100,7.288,nan,nan,nan
3.421,0.0237,0.0717,0.3850,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.07,-0.100,5.900,5.830,nan,nan,nan
3.921,0.0254,0.0760,0.4449,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.11,2.900,4.300,5.109,nan,nan,nan
4.421,0.0258,0.0768,0.5001,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.13,0.300,5.900,5.830,nan,nan,nan
4.921,0.0257,0.0760,0.5580,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.15,-1.700,3.900,4.195,nan,nan,nan
5.421,0.0253,0.0748,0.6082,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.19,1.300,3.300,3.468,nan,nan,nan
5.921,0.0249,0.0729,0.6589,nan,nan,0,0,0.0000,TAKEOFF_CLIMB,1.19,-1.100,3.100,3.229,nan,nan,nan
