t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
0.0,0.0,0.05,0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.049995095,0.0504,0.0,2.5814575792588524e-21,0.0,0.0,-0.00981,2.03257253803644e-18,0.0,5.1629151585177055e-18,0.0
0.002,0.0,0.049980380000000005,0.0504,0.0,1.032583031703541e-20,0.0,0.0,-0.01962,4.06514507607288e-18,0.0,1.0325830317035411e-17,0.0
0.003,0.0,0.04995585500000001,0.0504,0.0,2.3233118213329674e-20,0.0,0.0,-0.029429999999999998,6.0977176141093195e-18,0.0,1.5488745475553116e-17,0.0
0.004,0.0,0.049921520000000004,0.0504,0.0,4.130332126814164e-20,0.0,0.0,-0.03924,8.13029015214576e-18,0.0,2.0651660634070822e-17,0.0
0.005,0.0,0.049877375,0.0504,0.0,6.453643948147131e-20,0.0,0.0,-0.049049999999999996,1.0162862690182199e-17,0.0,2.5814575792588528e-17,0.0
0.006,0.0,0.04982342,0.0504,0.0,9.293247285331868e-20,0.0,0.0,-0.058859999999999996,1.2195435228218639e-17,0.0,3.097749095110623e-17,0.0
0.007,0.0,0.049759655,0.0504,0.0,1.2649142138368375e-19,0.0,0.0,-0.06867,1.422800776625508e-17,0.0,3.6140406109623935e-17,0.0
0.008,0.0,0.04968608,0.0504,0.0,1.6521328507256653e-19,0.0,0.0,-0.07848,1.626058030429152e-17,0.0,4.130332126814164e-17,0.0
0.009000000000000001,0.0,0.049602695,0.0504,0.0,2.09098063919967e-19,0.0,0.0,-0.08829,1.829315284232796e-17,0.0,4.646623642665934e-17,0.0
0.010000000000000002,0.0,0.049509500000000005,0.0504,0.0,2.581457579258852e-19,0.0,0.0,-0.09809999999999999,2.0325725380364398e-17,0.0,5.1629151585177044e-17,0.0
0.011000000000000003,0.0,0.049406495,0.0504,0.0,3.1235636709032107e-19,0.0,0.0,-0.10790999999999999,2.2358297918400838e-17,0.0,5.679206674369475e-17,0.0
0.012000000000000004,0.0,0.04929368,0.0504,0.0,3.7172989141327464e-19,0.0,0.0,-0.11771999999999999,2.4390870456437278e-17,0.0,6.195498190221245e-17,0.0
0.013000000000000005,0.0,0.049171055,0.0504,0.0,4.362663308947459e-19,0.0,0.0,-0.12752999999999998,2.6423442994473718e-17,0.0,6.711789706073015e-17,0.0
0.014000000000000005,0.0,0.04903862,0.0504,0.0,5.05965685534735e-19,0.0,0.0,-0.13733999999999996,2.845601553251016e-17,0.0,7.228081221924786e-17,0.0
0.015000000000000006,0.0,0.048896375,0.0504,0.0,5.808279553332417e-19,0.0,0.0,-0.14714999999999995,3.0488588070546594e-17,0.0,7.744372737776556e-17,0.0
0.016000000000000007,0.0,0.04874432,0.0504,0.0,6.608531402902661e-19,0.0,0.0,-0.15695999999999993,3.252116060858304e-17,0.0,8.260664253628326e-17,0.0
0.017000000000000008,0.0,0.048582455000000004,0.0504,0.0,7.460412404058082e-19,0.0,0.0,-0.16676999999999992,3.455373314661948e-17,0.0,8.776955769480097e-17,0.0
0.01800000000000001,0.0,0.04841078,0.0504,0.0,8.36392255679868e-19,0.0,0.0,-0.1765799999999999,3.6586305684655923e-17,0.0,9.293247285331867e-17,0.0
0.01900000000000001,0.0,0.048229295,0.0504,0.0,9.319061861124455e-19,0.0,0.0,-0.1863899999999999,3.8618878222692366e-17,0.0,9.809538801183637e-17,0.0
0.02000000000000001,0.0,0.048038,0.0504,0.0,1.0325830317035408e-18,0.0,0.0,-0.19619999999999987,4.065145076072881e-17,0.0,1.0325830317035408e-16,0.0
0.02100000000000001,0.0,0.047836895,0.0504,0.0,1.1384227924531537e-18,0.0,0.0,-0.20600999999999986,4.268402329876525e-17,0.0,1.0842121832887178e-16,0.0
0.022000000000000013,0.0,0.04762598,0.0504,0.0,1.2494254683612843e-18,0.0,0.0,-0.21581999999999985,4.4716595836801695e-17,0.0,1.135841334873895e-16,0.0
0.023000000000000013,0.0,0.047405255,0.0504,0.0,1.3655910594279327e-18,0.0,0.0,-0.22562999999999983,4.674916837483814e-17,0.0,1.187470486459072e-16,0.0
0.024000000000000014,0.0,0.04717472,0.0504,0.0,1.4869195656530987e-18,0.0,0.0,-0.23543999999999982,4.878174091287458e-17,0.0,1.2390996380442493e-16,0.0
0.025000000000000015,0.0,0.046934375,0.0504,0.0,1.6134109870367824e-18,0.0,0.0,-0.2452499999999998,5.0814313450911024e-17,0.0,1.2907287896294264e-16,0.0
0.026000000000000016,0.0,0.04668422,0.0504,0.0,1.7450653235789838e-18,0.0,0.0,-0.2550599999999998,5.2846885988947467e-17,0.0,1.3423579412146036e-16,0.0
