t,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,tau1,tau2,tau3,tau4,tau5,tau6
0.0,-0.2845756723971281,0.06932559218686318,0.05372661763944647,1.4698434500548463,0.20088468495617537,-1.6717492035349615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.271,-35.37725936954416,0.3387616320064464,0.17197680676300922,0.0
0.001,-0.2845756723971281,0.06932559218686318,0.05372661763944647,1.4698434500548463,0.20088468495617537,-1.6717492035349615,0.0,0.0,0.0,0.0,0.0,0.0,-0.01663361765616538,89.27622125931161,-35.37335786683106,0.3388162648510106,0.16949527502479472,3.136844198103989e-05
0.002,-0.2845756835928339,0.06932559275194836,0.0537266183400476,1.4698434502059479,0.2008846843672532,-1.6717491793937913,-2.2391412909656986e-05,1.130169917858155e-06,1.4012020508893819e-06,3.0228897243432426e-07,-1.1778356442667102e-06,4.8282255195008317e-05,-0.03318658815762299,89.28141727472052,-35.36947524023718,0.3388706319632634,0.1670257737958867,6.258440954812074e-05
0.003,-0.28457572832138023,0.06932559500955568,0.053726621139064255,1.469843450809877,0.20088468201445528,-1.6717490829468082,-6.706568484402704e-05,3.385043077273651e-06,4.196830567286426e-06,9.059137562049743e-07,-3.527725801723295e-06,0.00014461136961674493,-0.04965904800189495,89.2865880877349,-35.36561146247894,0.33892473178199994,0.16456828129504322,9.364816460361517e-05
0.004,-0.28457582881143884,0.06932560008166003,0.053726627427541016,1.4698434521674064,0.20088467672860336,-1.671748866264561,-0.0001339144436355556,6.759162000419589e-06,8.38012162959755e-06,1.8099235425533775e-06,-7.043901393646557e-06,0.00028875235427504444,-0.06605113444515917,89.29173373985702,-35.361766510193014,0.3389785627071899,0.16212277572214215,0.00012455996889265754
0.005,-0.28457600718340037,0.06932560908478337,0.05372663858976427,1.4698434545783583,0.2008846673462825,-1.6717484816523827,-0.00022282949878465867,1.124707840206641e-05,1.3944322969939266e-05,3.0133697231254983e-06,-1.172060534218917e-05,0.00048047062701198556,-0.08236298548867503,89.29685427258323,-35.357940363872366,0.33903212310075037,0.15968923525873038,0.00015532008400426976
0.006,-0.2845762854495559,0.06932562313000395,0.05372665600327389,1.4698434583416065,0.20088465270982916,-1.671747881649985,-0.00033370284141046367,1.684335318375658e-05,2.0882693958218595e-05,4.515305740556144e-06,-1.7552092519584473e-05,0.0007195320123558795,-0.09859473986531707,89.30194972740401,-35.354133007802744,0.33908541128731445,0.15726763806856836,0.00018592877137245232
0.007,-0.2845766855142784,0.0693256433229655,0.05372668103887484,1.469843463755078,0.2008846316673192,-1.6717470190310504,-0.00046642664420172786,2.3542556428040287e-05,2.9188505588365925e-05,6.314786942170979e-06,-2.4532629697951427e-05,0.001005702741374443,-0.11474653702621442,89.307020145804,-35.35034442999965,0.3391384255549932,0.1548579622981672,0.00021638629227729495
0.008,-0.2845772291742045,0.06932567076388634,0.05372671506064881,1.469843471115755,0.20088460307255604,-1.6717458468028268,-0.0006208932613679238,3.1339267392770516e-05,3.88550404647238e-05,8.41087043653962e-06,-3.265649549978265e-05,0.0013387494515274582,-0.13081851712749223,89.31206556926202,-35.34657462214577,0.33919116415613154,0.15246018607732414,0.00024669290784606386
0.009000000000000001,-0.284577938118416,0.06932570654756863,0.05372675942596581,1.4698434807196774,0.20088456578505878,-1.6717443182057203,-0.0007969952285904916,4.0228074505444276e-05,4.987559278858679e-05,1.0802614952624067e-05,-4.1917980349095874e-05,0.0017184391865191126,-0.1468108210171116,89.31708603925111,-35.34282357952891,0.3392436253080591,0.1500742875196524,0.00027684887905428157
0.010000000000000002,-0.2845788339286209,0.06932575176340755,0.05372681548549578,1.4698434928619428,0.2008845186700505,-1.6717423867128898,-0.0009946252629742646,5.020357535762491e-05,6.22434683449045e-05,1.3489080701556707e-05,-5.231138642315572e-05,0.0021445393961499605,-0.18020648115168744,89.32746465082903,-35.335050923905015,0.339352922530175,0.1450925456377484,0.0003402928208591096
0.011000000000000003,-0.2845799498453885,0.06932580807804116,0.05372688530558869,1.4698435079985728,0.20088445996776821,-1.6717399801773454,-0.0012372083662482987,6.242565888629235e-05,7.739672451778922e-05,1.679320260936307e-05,-6.50923826644617e-05,0.002668522783903086,-0.19594811489939637,89.33240802799992,-35.331358154808235,0.33940452281724987,0.14274401772106274,0.00036996711379725424
0.012000000000000004,-0.2845813189405399,0.06932587714976253,0.05372697094225585,1.4698435265841139,0.200884387927598,-1.6717370268258664,-0.001500982047406162,7.571774445889841e-05,9.387662164477031e-05,2.0389009013724436e-05,-7.898698980874523e-05,0.0032381691897521037,-0.21161072370649645,89.33732663079844,-35.32768414537695,0.339455838336236,0.14040726726110397,0.0003994920490624652
0.013000000000000005,-0.2845829623514302,0.06932596004589237,0.05372707371881533,1.4698435489096877,0.20088430143874342,-1.671733481110594,-0.0017858398608417046,9.007446918312423e-05,0.00011167651535867393,2.4275566623568175e-05,-9.398956715837481e-05,0.0038532481069098318,-0.22719445123851442,89.34222050060276,-35.324028908475455,0.3395068671358689,0.13808227237554682,0.0004288678850916863
